"","V1","V2","V3"
"1","baker street","51.5226","-0.1571"
"2","charing cross","51.508","-0.1247"
"3","edgware road (b)","51.5199","-0.1679"
"4","elephant & castle","51.4943","-0.1001"
"5","embankment","51.5074","-0.1223"
"6","harlesden","51.5362","-0.2575"
"7","harrow & wealdston","51.5925","-0.3351"
"8","kensal green","51.5304","-0.225"
"9","kenton","51.5816","-0.3162"
"10","kilburn park","51.5351","-0.1939"
"11","lambeth north","51.4991","-0.1115"
"12","maida vale","51.53","-0.1854"
"13","north wembley","51.5621","-0.3034"
"14","oxford circus","51.515","-0.1415"
"15","paddington","51.5154","-0.1755"
"16","stonebridge park","51.5439","-0.2759"
"17","bank","51.5133","-0.0886"
"18","barkingside","51.5856","0.0887"
"19","bethnal green","51.527","-0.0549"
"20","bond street","51.5142","-0.1494"
"21","buckhurst hill","51.6266","0.0471"
"22","chancery lane","51.5185","-0.1111"
"23","chigwell","51.6177","0.0755"
"24","debden","51.6455","0.0838"
"25","ealing broadway","51.5152","-0.3017"
"26","east acton","51.5168","-0.2474"
"27","epping","51.6937","0.1139"
"28","fairlop","51.596","0.0912"
"29","gants hill","51.5765","0.0663"
"30","grange hill","51.6132","0.0923"
"31","greenford","51.5423","-0.3456"
"32","hanger lane","51.5302","-0.2933"
"33","holborn","51.5174","-0.12"
"34","holland park","51.5075","-0.206"
"35","lancaster gate","51.5119","-0.1756"
"36","leyton","51.5566","-0.0053"
"37","leytonstone","51.5683","0.0083"
"38","mile end","51.5249","-0.0332"
"39","northolt","51.5483","-0.3687"
"40","north acton","51.5237","-0.2597"
"41","notting hill gate","51.5094","-0.1967"
"42","redbridge","51.5763","0.0454"
"43","roding valley","51.6171","0.0439"
"44","ruislip gardens","51.5606","-0.4103"
"45","shepherd's bush (c)","51.5046","-0.2187"
"46","snaresbrook","51.5808","0.0216"
"47","south woodford","51.5917","0.0275"
"48","aldgate","51.5143","-0.0755"
"49","barbican","51.5204","-0.0979"
"50","bayswater","51.5121","-0.1879"
"51","blackfriars","51.512","-0.1031"
"52","cannon street","51.5113","-0.0904"
"53","edgware road (c)","51.5203","-0.17"
"54","euston square","51.526","-0.1359"
"55","farringdon","51.5203","-0.1053"
"56","gloucester road","51.4945","-0.1829"
"57","high street kensington","51.5009","-0.1925"
"58","liverpool street","51.5178","-0.0823"
"59","monument","51.5108","-0.0863"
"60","sloane square","51.4924","-0.1565"
"61","st. james's park","51.4994","-0.1335"
"62","aldgate east","51.5154","-0.0726"
"63","barking","51.5396","0.081"
"64","barons court","51.4905","-0.2139"
"65","becontree","51.5403","0.127"
"66","bow road","51.5269","-0.0247"
"67","london city airport","51.5037","0.0488"
"68","bromley-by-bow","51.5248","-0.0119"
"69","chiswick park","51.4946","-0.2678"
"70","dagenham east","51.5443","0.1655"
"71","ealing common","51.5101","-0.2882"
"72","earl's court","51.492","-0.1973"
"73","east ham","51.5394","0.0518"
"74","east putney","51.4586","-0.2112"
"75","elm park","51.5496","0.1977"
"76","fulham broadway","51.4804","-0.195"
"77","gunnersbury","51.4915","-0.2754"
"78","hammersmith","51.4936","-0.2251"
"79","hornchurch","51.5539","0.2184"
"80","kew gardens","51.477","-0.285"
"81","parsons green","51.4753","-0.2011"
"82","plaistow","51.5313","0.0172"
"83","ravenscourt park","51.4942","-0.2359"
"84","southfields","51.4454","-0.2066"
"85","stamford brook","51.495","-0.2459"
"86","stepney green","51.5221","-0.047"
"87","upminster","51.559","0.251"
"88","wimbledon","51.4214","-0.2064"
"89","canada water","51.4982","-0.0502"
"90","new cross","51.4767","-0.0327"
"91","new cross gate","51.4757","-0.0402"
"92","rotherhithe","51.501","-0.0525"
"93","shadwell","51.5117","-0.056"
"94","shoreditch","51.5227","-0.0708"
"95","pontoon dock","51.5021","0.0319"
"96","goldhawk road","51.5018","-0.2267"
"97","ladbroke grove","51.5172","-0.2107"
"98","latimer road","51.5139","-0.2172"
"99","royal oak","51.519","-0.188"
"100","bermondsey","51.4979","-0.0637"
"101","canary wharf","51.5051","-0.0209"
"102","canning town","51.5147","0.0082"
"103","canons park","51.6078","-0.2947"
"104","dollis hill","51.552","-0.2387"
"105","finchley road","51.5472","-0.1803"
"106","green park","51.5067","-0.1428"
"107","kilburn","51.5471","-0.2047"
"108","kingsbury","51.5846","-0.2786"
"109","london bridge","51.5052","-0.0864"
"110","neasden","51.5542","-0.2503"
"111","southwark","51.504","-0.1052"
"112","stratford","51.5416","-0.0042"
"113","st. john's wood","51.5347","-0.174"
"114","waterloo","51.5036","-0.1143"
"115","amersham","51.6736","-0.607"
"116","chalfont & latimer","51.6679","-0.561"
"117","chorleywood","51.6543","-0.5183"
"118","croxley","51.647","-0.4412"
"119","eastcote","51.5765","-0.397"
"120","west silvertown","51.5027","0.0226"
"121","harrow-on-the-hill","51.5793","-0.3366"
"122","hillingdon","51.5538","-0.4499"
"123","ickenham","51.5619","-0.4421"
"124","moor park","51.6294","-0.432"
"125","northwick park","51.5784","-0.3184"
"126","northwood","51.6111","-0.424"
"127","northwood hills","51.6004","-0.4092"
"128","north harrow","51.5846","-0.3626"
"129","preston road","51.572","-0.2954"
"130","rayners lane","51.5753","-0.3714"
"131","ruislip","51.5715","-0.4213"
"132","angel","51.5322","-0.1058"
"133","archway","51.5653","-0.1353"
"134","balham","51.4431","-0.1525"
"135","belsize park","51.5504","-0.1642"
"136","borough","51.5011","-0.0943"
"137","brent cross","51.5766","-0.2136"
"138","burnt oak","51.6028","-0.2641"
"139","camden town","51.5392","-0.1426"
"140","clapham common","51.4618","-0.1384"
"141","clapham north","51.4649","-0.1299"
"142","colindale","51.5955","-0.2502"
"143","colliers wood","51.418","-0.1778"
"144","east finchley","51.5874","-0.165"
"145","euston","51.5282","-0.1337"
"146","finchley central","51.6012","-0.1932"
"147","golders green","51.5724","-0.1941"
"148","goodge street","51.5205","-0.1347"
"149","high barnet","51.6503","-0.1943"
"150","kennington","51.4884","-0.1053"
"151","kentish town","51.5507","-0.1402"
"152","leicester square","51.5113","-0.1281"
"153","moorgate","51.5186","-0.0886"
"154","morden","51.4022","-0.1948"
"155","oval","51.4819","-0.113"
"156","tooting bec","51.4361","-0.1598"
"157","totteridge & whetstone","51.6302","-0.1791"
"158","west finchley","51.6095","-0.1883"
"159","acton town","51.5028","-0.2801"
"160","alperton","51.5407","-0.2997"
"161","arnos grove","51.6164","-0.1331"
"162","arsenal","51.5586","-0.1059"
"163","boston manor","51.4956","-0.325"
"164","bounds green","51.6071","-0.1243"
"165","caledonian road","51.5481","-0.1188"
"166","cockfosters","51.6517","-0.1496"
"167","covent garden","51.5129","-0.1243"
"168","hatton cross","51.4669","-0.4227"
"169","heathrow terminals 1, 2 & 3","51.4713","-0.4524"
"170","hounslow central","51.4713","-0.3665"
"171","hounslow east","51.4733","-0.3564"
"172","hyde park corner","51.5027","-0.1527"
"173","king's cross st. pancras","51.5308","-0.1238"
"174","knightsbridge","51.5015","-0.1607"
"175","manor house","51.5712","-0.0958"
"176","northfields","51.4995","-0.3142"
"177","north ealing","51.5175","-0.2887"
"178","oakwood","51.6476","-0.1318"
"179","south harrow","51.5646","-0.3521"
"180","sudbury hill","51.5569","-0.3366"
"181","turnpike lane","51.5904","-0.1028"
"182","blackhorse road","51.5867","-0.0417"
"183","brixton","51.4627","-0.1145"
"184","finsbury park","51.5642","-0.1065"
"185","highbury & islington","51.546","-0.104"
"186","pimlico","51.4893","-0.1334"
"187","seven sisters","51.5822","-0.0749"
"188","stockwell","51.4723","-0.123"
"189","all saints","51.5107","-0.013"
"190","beckton","51.5148","0.0613"
"191","beckton park","51.5087","0.055"
"192","blackwall","51.5079","-0.0066"
"193","bow church","51.5273","-0.0208"
"194","crossharbour & london arena","51.4957","-0.0144"
"195","custom house","51.5095","0.0276"
"196","cutty sark","51.4827","-0.0096"
"197","cyprus","51.5085","0.064"
"198","deptford bridge","51.474","-0.0216"
"199","elverson road","51.4693","-0.0174"
"200","heron quays","51.5033","-0.0215"
"201","island gardens","51.4871","-0.0101"
"202","limehouse","51.5123","-0.0396"
"203","poplar","51.5077","-0.0173"
"204","prince regent","51.5093","0.0336"
"205","pudding mill lane","51.5343","-0.0139"
"206","westferry","51.5097","-0.0265"
"207","marylebone","51.5225","-0.1631"
"208","regent's park","51.5234","-0.1466"
"209","picadilly circus","51.5098","-0.1342"
"210","willesden junction","51.5326","-0.2478"
"211","queen's park","51.5341","-0.2047"
"212","south kenton","51.5701","-0.3081"
"213","warwick avenue","51.5235","-0.1835"
"214","wembley central","51.5519","-0.2963"
"215","st. paul's","51.5146","-0.0973"
"216","newbury park","51.5756","0.0899"
"217","marble arch","51.5136","-0.1586"
"218","loughton","51.6412","0.0558"
"219","woodford","51.607","0.0341"
"220","theydon bois","51.6717","0.1033"
"221","west acton","51.518","-0.2809"
"222","white city","51.512","-0.2239"
"223","hainault","51.603","0.0933"
"224","perivale","51.5366","-0.3232"
"225","tottenham court road","51.5165","-0.131"
"226","queensway","51.5107","-0.1877"
"227","wanstead","51.5775","0.0288"
"228","south ruislip","51.5569","-0.3988"
"229","west ruislip","51.5696","-0.4376"
"230","tower hill","51.5098","-0.0766"
"231","great portland street","51.5238","-0.1439"
"232","mansion house","51.5122","-0.094"
"233","temple","51.5111","-0.1141"
"234","westminster","51.501","-0.1254"
"235","south kensington","51.4941","-0.1738"
"236","victoria","51.4965","-0.1447"
"237","whitechapel","51.5194","-0.0612"
"238","upney","51.5385","0.1014"
"239","west kensington","51.4907","-0.2065"
"240","dagenham heathway","51.5417","0.1469"
"241","king george v","51.502","0.0627"
"242","west ham","51.5287","0.0056"
"243","turnham green","51.4951","-0.2547"
"244","kensington (olympia)","51.4983","-0.2106"
"245","west brompton","51.4872","-0.1953"
"246","upton park","51.5352","0.0343"
"247","putney bridge","51.4682","-0.2089"
"248","upminster bridge","51.5582","0.2343"
"249","richmond","51.4633","-0.3013"
"250","wimbledon park","51.4343","-0.1992"
"251","surrey quays","51.4933","-0.0478"
"252","wapping","51.5043","-0.0558"
"253","shepherd's bush (h)","51.5058","-0.2265"
"254","westbourne park","51.521","-0.2011"
"255","north greenwich","51.5005","0.0039"
"256","queensbury","51.5942","-0.2861"
"257","stanmore","51.6194","-0.3028"
"258","willesden green","51.5492","-0.2215"
"259","swiss cottage","51.5432","-0.1738"
"260","west hampstead","51.5469","-0.1906"
"261","wembley park","51.5635","-0.2795"
"262","chesham","51.7052","-0.611"
"263","rickmansworth","51.6404","-0.4733"
"264","watford","51.6573","-0.4177"
"265","ruislip manor","51.5732","-0.4125"
"266","west harrow","51.5795","-0.3533"
"267","uxbridge","51.5463","-0.4786"
"268","pinner","51.5926","-0.3805"
"269","old street","51.5263","-0.0873"
"270","highgate","51.5777","-0.1458"
"271","tufnell park","51.5567","-0.1374"
"272","clapham south","51.4527","-0.148"
"273","chalk farm","51.5441","-0.1538"
"274","hampstead","51.5568","-0.178"
"275","hendon central","51.5829","-0.2259"
"276","edgware","51.6137","-0.275"
"277","mornington crescent","51.5342","-0.1387"
"278","south wimbledon","51.4154","-0.1919"
"279","tooting broadway","51.4275","-0.168"
"280","warren street","51.5247","-0.1384"
"281","mill hill east","51.6082","-0.2103"
"282","woodside park","51.6179","-0.1856"
"283","south ealing","51.5011","-0.3072"
"284","park royal","51.527","-0.2841"
"285","sudbury town","51.5507","-0.3156"
"286","southgate","51.6322","-0.128"
"287","holloway road","51.5526","-0.1132"
"288","osterley","51.4813","-0.3522"
"289","wood green","51.5975","-0.1097"
"290","heathrow terminal 4","51.4598","-0.4476"
"291","hounslow west","51.4734","-0.3855"
"292","russell square","51.523","-0.1244"
"293","tottenham hale","51.5882","-0.0594"
"294","walthamstow central","51.583","-0.0195"
"295","vauxhall","51.4861","-0.1253"
"296","devons road","51.5223","-0.0173"
"297","gallions reach","51.5096","0.0716"
"298","royal albert","51.5084","0.0465"
"299","east india","51.5093","-0.0021"
"300","west india quay","51.507","-0.0203"
"301","royal victoria","51.5091","0.0181"
"302","mudchute","51.4902","-0.0145"
"303","south quay","51.5007","-0.0191"
"304","greenwich","51.4781","-0.0149"
"305","lewisham","51.4657","-0.0142"
"306","tower gateway","51.5106","-0.0743"
